case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
2002.11.17,17-nov-02,2002,unprovoked,usa,hawaii,ka'anapali,swimming,f,34.0,right shoulder forarm & wrist bitten,n,2.4 m to 3 m [8' to 10'] grey colored shark,san francisco gate,2002.11.17-glance.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.11.17-glance.pdf,4407
2002.11.14,14-nov-02,2002,unprovoked,turks & caicos,caicos bank,french cay,snorkeling,f,41.0,"right upper am, shoulder & back severely  bitten",n,1.8 m to 2.1 m [6' to 7']� caribbean reef shark,"m. glenn, local 10 news; miami herald, 11/28/2002",2002.11.14-glenn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.11.14-glenn.pdf,4406
2002.11.11,11-nov-02,2002,unprovoked,usa,florida,"ponce inlet, new smyrna beach, volusia county",surfing,m,21.0,1.5-inch laceration,n,6' shark,"s. petersohn, gsaf",2002.11.11-johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.11.11-johnson.pdf,4405
2002.11.02,02-nov-02,2002,unprovoked,usa,florida,"new smyrna beach, volusia county",boogie boarding,m,16.0,puncture wounds on right foot,n,3' to 4' shark,"s. petersohn, gsaf",2002.11.02-ah.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.11.02-ah.pdf,4404
2002.11.00.a,not defined,2002,unprovoked,french polynesia,society islands,tetiaroa,"fishing, standing in 2' of water",m,52.0,shin bruised,n,nan,s. heywood,2002.11.00-heywood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.11.00-heywood.pdf,4403
2002.10.30,30-oct-02,2002,unprovoked,usa,hawaii,"kama'ole beach park i, kihei, maui",swimming,f,60.0,left foot bitten,n,a �small� shark,j. crites,2002.10.30-miller.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.10.30-miller.pdf,4402
2002.10.14,14-oct-02,2002,unprovoked,brazil,pernambuco,"piedade beach, jaboat�o dos guararapes city, recife",swimming,m,36.0,"fatal, body not recovered",y,possibly a bull shark or tiger shark,"p.m. lopes, gsaf",2002.10.14-arruda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.10.14-arruda.pdf,4401
2002.10.11,11-oct-02,2002,unprovoked,usa,florida,"opposite main gate at patrick air force base, cape canaveral, brevard county",surfing,m,21.0,left foot bitten,n,nan,"florida today, 10/12/2002",2002.10.11-capecanaveral.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.10.11-capecanaveral.pdf,4400
2002.10.05.b,05-oct-02,2002,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,14.0,abrasions on right hand & deep laceration on middle finger,n,blacktip or spinner shark,"d. harrity; s. petersohn, gsaf; l. lelis, orlando sentinel",2002.10.05.b-darrenharrity.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.10.05.b-darrenharrity.pdf,4399
2002.10.05.a,05-oct-02,2002,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,35.0,heel & back of right knee lacerated,n,3.5' to 4.5' shark,"s. petersohn, gsaf; daytona beach news journal, 9/22/2003, p.1c",2002.10.05.a-rios.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.10.05.a-rios.pdf,4398
2002.10.03,03-oct-02,2002,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,18.0,left hand lacerated and abraded,n,3.5' to 4' shark,"s. petersohn, gsaf; local 6 news; orlando sentinel, 10/4/2002, p.b3",2002.10.03-kehoe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.10.03-kehoe.pdf,4397
2002.09.30,30-sep-02,2002,unprovoked,usa,florida,"ormond beach, volusia county",surfing,m,47.0,right hand severely lacerated,n,4' to 5' shark,"s. petersohn, gsaf; j. eager, scubaradio.com; p.balona, vero beach press journal, 5/10/2003, p.1c",2002.09.30-crawford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.30-crawford.pdf,4396
2002.09.29,29-sep-02,2002,unprovoked,usa,florida,"sebastian inlet, brevard county",surfing,m,32.0,left hand bitten,n,nan,"local 6 news; p. balona, vero beach press journal, 10/2/2002",2002.09.29-fogelberg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.29-fogelberg.pdf,4395
2002.09.27.c,27-sep-02,2002,unprovoked,usa,hawaii,"kahala, o'ahu",fishing from surfboard,m,55.0,"no injury, surfboard bitten",n,1.2 m [4'] blacktip shark,"c. lum & j. widner, honolulu advertiser",2002.09.27.c-lum.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.27.c-lum.pdf,4394
2002.09.27.b,27-sep-02,2002,provoked,usa,florida,"key largo, monroe county",fishing,m,,left thumb lacerated provoked incident,n,1.8 m [6'] blacktip shark,"j. eager, scubaradio.com",2002.09.27.b-diaz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.27.b-diaz.pdf,4393
2002.09.27.a,27-sep-02,2002,provoked,tonga,vava'u,swimming with humpback whales,swimming,m,,thigh lacerated  provoked incident,n,"tiger shark, 1.5 m [5']k",c. butterfield,2002.09.27.a-tonga.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.27.a-tonga.pdf,4392
2002.09.21.b,21-sep-02,2002,unprovoked,usa,oregon,cape kiwanda,boogie boarding or surfing,m,24.0,ankle lacerated,n,2.4 m [8'] shark,"r. collier, gsaf",2002.09.21.b-garryturner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.21.b-garryturner.pdf,4391
2002.09.21.a,21-sep-02,2002,unprovoked,usa,california,"moonstone beach, humboldt county",surfing,m,35.0,no injury,n,3 m to 3.7 m [10' to 12'] shark,"r. collier , gsaf",2002.09.21.a-richards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.21.a-richards.pdf,4390
2002.09.16.b,16-sep-02,2002,unprovoked,brazil,pernambuco,"piedade beach, jaboat�o dos guararapes city",swimming,m,19.0,"left thigh bitten, leg surgically amputated",n,bull or tiger shark,"p.m. lopes, gsaf",2002.09.16.b-carvalho.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.16.b-carvalho.pdf,4389
2002.09.16.a,16-sep-02,2002,unprovoked,usa,hawaii,"hideaways beach, princeville, kaua'i",body boarding,,,"no injury, shark fin seen just before board ripped away & dragged out to sea",n,nan,hawaii department of land and natural resources,2002.09.16.a-hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.16.a-hawaii.pdf,4388
2002.09.13,13-sep-02,2002,unprovoked,south africa,western cape province,"glencairn, false bay",surf skiing,m,47.0,no injury,n,white shark,multiple internet sources,2002.09.13-mauger.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.13-mauger.pdf,4387
2002.09.09,09-sep-02,2002,unprovoked,usa,florida,"ponce inlet, new smyrna beach, volusia county",boogie boarding,m,20.0,bitten above & below right knee,n,4' to 6' shark,"s. petersohn, gsaf; orlando sentinel, 9/10/2002, p.b3; daytona beach news journal, 9/10/2002, p.1c",2002.09.09-erwin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.09-erwin.pdf,4386
2002.09.05,05-sep-02,2002,provoked,usa,florida,"daytona beach shores, volusia county","wading, when he stepped on the shark",m,36.0,2 small puncture wounds on left foot provoked incident,n,1' to 2' hammerhead or bonnethed shark,"s. petersohn, gsaf",2002.09.05-lancaster.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.09.05-lancaster.pdf,4385
2002.08.28,28-aug-02,2002,unprovoked,usa,hawaii,"kewalo basin channel, o'ahu",surfing,m,16.0,left foot lacerated,n,"tiger shark, 2.4 m to 3 m [8' to 10']","g. kubota, honolulu star bulletin",2002.08.28-farden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.08.28-farden.pdf,4384
2002.08.17,17-aug-02,2002,unprovoked,usa,alabama,"gulf of mexico, 65 miles offshore from mobile",swimming,f,29.0,both arms & leg bitten,n,nan,"j. eager, scubaradio.com",2002.08.17-mclean.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.08.17-mclean.pdf,4383
2002.08.14,14-aug-02,2002,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,27.0,big toe bitten,n,0.9 m  to 1.2 m [3' to 4'] shark,"s. petersohn, gsaf; orlando sentinel, 8/15/2002, p.b3",2002.08.14-vinyard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.08.14-vinyard.pdf,4382
2002.08.11,11-aug-02,2002,unprovoked,usa,florida,"vero beach, indian river county",surfing,m,15.0,lacerations on heel & dorsum of right foot,n,"nurse shark, 1.5 m [5']","stuart news, 8/12/2002",2002.08.11-milliken.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.08.11-milliken.pdf,4381
2002.08.07,07-aug-02,2002,unprovoked,usa,florida,"ponce de leon inlet, volusia county",standing,m,15.0,ankle & leg lacerated,n,nan,"s. petersohn, gsaf; j. eager; a. caldwell, orlando sentinel, 8/8/2002, p.b1",2002.08.07-smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.08.07-smith.pdf,4380
2002.08.06.r,not defined,2002,provoked,united kingdom,cheshire,"blue planet aquarium, ellesmere port",diving,m,30.0,hand bitten by captive shark provoked incident,n,"sandtiger shark, 3 m [10']","evening standard (london, england)",2002.08.06-bennet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.08.06-bennet.pdf,4379
2002.08.05,05-aug-02,2002,unprovoked,usa,north carolina,"topsail beach, pender county",standing,m,14.0,leg lacerated,n,1.2 m to 1.5 m [4' to 5'] shark,"wisconsin state journal; c. creswell, gsaf",2002.08.05-pollan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.08.05-pollan.pdf,4378
2002.07.26,26-jul-02,2002,unprovoked,usa,south carolina,"myrtle beach, horry county",surfing,m,13.0,heel bitten,n,1.2 m [4'] blacktip or sandbar shark,"c. creswell, gsaf; the  state  (columbia, sc) 7/28/2002 ; sun news (myrtle beach), 7/28/2002",2002.07.26-nimmons.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.07.26-nimmons.pdf,4377
2002.07.20,20-jul-02,2002,unprovoked,usa,north carolina,"emerald isle, carteret county",swimming,f,15.0,calf bitten,n,"bull shark, 1.8 m to 2.1 m [6' to 7']","c. creswell, gsaf",2002.07.20-strong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.07.20-strong.pdf,4376
2002.07.10,10-jul-02,2002,provoked,usa,florida,"ponce inlet, new smyrna beach, volusia county",surfing,m,19.0,2 small lacerations on left lower leg when he jumped off board and landed on the shark provoked incident,n,nan,"s. petersohn, gsaf",2002.07.10-nichtro.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.07.10-nichtro.pdf,4375
2002.07.09.b,09-jul-02,2002,provoked,usa,maryland,"100 miles off ocean city, maryland, in 7000' of water",shark fishing,m,41.0,drowned when caught in line and pulled overboard by hooked shark provoked incident,y,"mako shark, 400-lb",life in legacy,2002.07.09.b-verbanas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.07.09.b-verbanas.pdf,4374
2002.07.09.a,10-jul-02,2002,unprovoked,brazil,pernambuco,"piedade beach, recife",surfing,m,22.0,right hand severed,n,bull or tiger shark,"p.m. lopes, gsaf",2002.07.09.a-dasilva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.07.09.a-dasilva.pdf,4373
2002.07.04,04-jul-02,2002,unprovoked,usa,north carolina,"wrightsville beach, new hanover county",standing,f,9.0,"calf, foot & hand bitten",n,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark","miami herald, 7/7/2002",2002.07.04-olearczyk.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.07.04-olearczyk.pdf,4372
2002.06.20.b,20-jun-02,2002,unprovoked,australia,queensland,sunshine beach,surfing,m,30.0,minor injury to foot,n,nan,"aap, 6/20/2002",2002.06.20.b-surfer-qld.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.20.b-surfer-qld.pdf,4371
2002.06.20.a,20-jun-02,2002,unprovoked,usa,florida,"new smyrna beach, volusia county",swimming,f,11.0,small lacerations on right lower leg,n,nan,"s. petersohn, gsaf",2002.06.20.a-female.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.20.a-female.pdf,4370
2002.06.16,16-jun-02,2002,invalid,indonesia,nan,"shark caught in indonesia, offloaded to trawler that docked at samut prakan, 20 miles south of bangkok, thailand",nan,,,human remains (right forearm & leg) recovered from 3.7m [12'] tiger shark�s gut. forensic examination suggested the remains had been consumed by the shark one to two weeks earlier,y,nan,espn.go.com,2002.06.16-indonesia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.16-indonesia.pdf,4369
2002.06.13.r2,not defined,2002,unprovoked,papua new guinea,louisiade archipelago,"brooker island , calvados chain",nan,,,"arm severely lacerated, surgically amputated",n,nan,"png post-courier, 6/13/2002, p.5",2002.06.13-r.2-beche-de-mer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.13-r.2-beche-de-mer.pdf,4368
2002.06.13.r1,not defined,2002,unprovoked,papua new guinea,louisiade archipelago,"gawa reefs, sudest island",attempting to retreive a dinghy,,,fatal,y,nan,"png post-courier, 6/13/2002, p.5",2002.06.13.r.1-schoolteacher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.13.r.1-schoolteacher.pdf,4367
2002.06.11.b,11-jun-02,2002,unprovoked,usa,hawaii,"anini beach, kaua'i",sitting on surfboard,,,"no injury, shark bit side of surfboard",n,"tiger shark, 2.4 m to 2.7 m [8' to 9']",hawaii department of land and natural resources,2002.06.11.b-levin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.11.b-levin.pdf,4366
2002.06.11.a,10-jun-02,2002,unprovoked,usa,florida,"st augustine beach, st johns county",surfing,m,28.0,right hand lacerated,n,0.9 m to 1.2 m [3' to 4'] shark; tooth fragment recovered from hand,"orlando sentinel, 6/12/2002, pp. b2 & b5; florida times-union, 6/10/2002",2002.06.11.a-jasonsmith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.11.a-jasonsmith.pdf,4365
2002.06.09.b,09-jun-02,2002,unprovoked,usa,florida,"south of ponce inlet, new smyrna beach, volusia county",surfing,m,50.0,6-inch gash on right foot,n,�,"s. petersohn, gsaf; s. pedicini, orlando sentinel, 6/13/2002., p.b1 & 6/12/2002, p.b2",2002.06.09.b-taylor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.09.b-taylor.pdf,4364
2002.06.09.a,09-jun-02,2002,unprovoked,usa,florida,"jensen beach, martin county",swimming,m,10.0,right calf lacerated,n,nan,"espn; orlando sentinel, 6/12/2002, p.b2",2002.06.09.a-brooks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.09.a-brooks.pdf,4363
2002.06.03,03-jun-02,2002,unprovoked,south africa,kwazulu-natal between port edward and port st johns,off mkhambati,snorkeling (filming the sardine run),m,50.0,upper arm bitten,n,1.5 to 2.5 m [5' to 8.25'] copper shark,t. white,2002.06.03-white.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.03-white.pdf,4362
2002.05.31.b,31-may-02,2002,unprovoked,usa,california,"stinson beach, marin county",surfing,m,24.0,lacerated leg & back,n,3.7 m to 4.3 m [12' to 14'] white shark,san francisco gate,2002.05.31.b-fontan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.31.b-fontan.pdf,4361
2002.05.31.a,31-may-02,2002,unprovoked,usa,florida,"st. george island (near apachicola), franklin county",floating on a raft,m,16.0,lacerated foot,n,1 m  shark,"south florida sun-sentinel; orlando sentinel, 6/3/2002, p.b.2; miami herald, 6/3/2002",2002.05.31.a-tichenor.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.31.a-tichenor.pdf,4360
2002.05.22.b,22-may-02,2002,provoked,usa,florida,"a pier at the end of caxambas drive, marco island","fishing, removing the shark from his line",m,55.0,leg bitten by hooked shark provoked incident,n,3' blacktip shark,"news-press, 5/23/2002",2002.05.22.b-marcoisland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.22.b-marcoisland.pdf,4359
2002.05.22.a,22-may-02,2002,unprovoked,usa,florida,"atlantic avenue, palm beach county",playing in the surf with his 2 dogs,m,35.0,"2-inch wound on dorsum of right foot, 1-inch wound on sole",n,nan,"palm beach post,  5/24 & 26/2002",2002.05.22.a-oliver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.22.a-oliver.pdf,4358
2002.05.21.r,not defined,2002,unprovoked,costa rica,guanacaste,playa grande,surfing,m,,toothmarks in board & his swim trunks,n,"bull shark, 1.8 m to 2.1 m [6' to 7']",surfline.com,2002.05.21.r-wallace.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.21.r-wallace.pdf,4357
2002.05.21,21-may-02,2002,unprovoked,papua new guinea,milne bay province,tewatewa island,collecting beche-de-mer,m,14.0,wrist lacerated,n,nan,"png post-courier, 6/13/2002, p.5",2002.05.21.a-leonard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.21.a-leonard.pdf,4356
2002.05.13,13-may-02,2002,unprovoked,usa,florida,"ten thousand islands national wildlife refuge, collier county",fishing,m,31.0,laceration to arm.,n,2.1 m to 2.4 m [7' to 8'] shark,south florida sun-sentinel; southwest florida digest,2002.05.13-gallegos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.13-gallegos.pdf,4355
2002.05.10,10-may-02,2002,unprovoked,brazil,pernambuco,"pina, recife",surfing,m,40.0,leg injured,n,nan,"jconline, 5/11/2002",2002.05.10-paulofernandesalvesferreira.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.10-paulofernandesalvesferreira.pdf,4354
2002.05.07,07-may-02,2002,provoked,australia,northern territory,darwin,fishing from prawn trawler,m,20.0,netted shark injured his am & 6 fingers provoked incident,n,nan,"northern territory news, 5/29/2002, p.7",2002.05.07-morris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.07-morris.pdf,4353
2002.04.30,30-apr-02,2002,unprovoked,australia,south australia,"smoky bay, near ceduna, on the eyre peninsula",scallop diving (using surface-supplied air & a pod),m,23.0,"fatal, torso & leg bitten",y,"white shark, 6m [20']","t. peake, gsaf",2002.04.30-buckland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.30-buckland.pdf,4352
2002.04.21,21-apr-02,2002,invalid,australia,new south wales,26 nautical miles out to sea off lake macquarie,fishing (drowned 2-apr-2002),m,52.0,"drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",y,nan,newcastle herald. 10/3/2002,2002.04.21-kangsuklee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.21-kangsuklee.pdf,4351
2002.04.20,20-apr-02,2002,unprovoked,usa,florida,"st. augustine beach, st. johns county","surfing, but standing in water alongside board",m,34.0,left foot bitten,n,1.2 m [4'] shark,"miami herald, 4/25/2002; florida times-union, 4/23/2002",2002.04.20-stinson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.20-stinson.pdf,4350
2002.04.18,18-apr-02,2002,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,28.0,left foot bitten,n,nan,"s. petersohn, gsaf; orlando sentinel, 4/19/2002, p.g1; daytona beach news journal, 4/19/2002, p.1c",2002.04.18-sutliff.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.18-sutliff.pdf,4349
2002.04.12,12-apr-02,2002,unprovoked,australia,new south wales,"bar beach, newcastle",swimming,m,45.0,foot bitten,n,nan,"t. peake, gsaf",2002.04.12-schneider.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.12-schneider.pdf,4348
